"Party","Page Name","Page ID"
"CDA","CDA Waterschap Rijn & IJssel","102030152751430"
"CDA","CDA Weert","454881347869985"
"CDA","CDA Weesp","493486017464064"
"CDA","CDA West Betuwe","408014926243357"
"CDA","CDA West Maas en Waal","686529124720085"
"CDA","CDA Westerveld","254312655097162"
"CDA","CDA Westervoort","146112709109483"
"CDA","CDA Westland","214832851862484"
"CDA","CDA Weststellingwerf","772652046084249"
"CDA","CDA Wierden-Enter","745748472121982"
"CDA","CDA Wijchen","262802337226392"
"CDA","CDA Wijdemeren","161676647209030"
"CDA","CDA Wijk bij Duurstede","583020325123704"
"CDA","CDA Winterswijk","192682167607009"
"CDA","CDA Woensdrecht","2045510065726394"
"CDA","CDA Woerden","200196726673712"
"CDA","CDA Woudenberg","196310430554710"
"CDA","CDA Zaanstad","1557210341199535"
"CDA","CDA Zaltbommel","258464194316439"
"CDA","CDA Zandvoort","515089181871331"
"CDA","CDA Zeeland","327605354041024"
"CDA","CDA Zeewolde","195903857175578"
"CDA","CDA Zeist","338122969716953"
"CDA","CDA Zevenaar","718219188201979"
"CDA","CDA Zevenaar","101769345665255"
"CDA","CDA Zoetermeer","888452997842152"
"CDA","CDA Zoeterwoude","495077074013552"
"CDA","CDA Zuid-Holland","1523833891223465"
"CDA","CDA Zuidplas","396296187170658"
"CDA","CDA Zundert","371154656344257"
"CDA","CDA Zutphen-Warnsveld","1840624359503135"
"CDA","CDA Zwijndrecht","760125597332468"
"CDA","CDA Zwolle","890769134318110"
"CDA","CDA gemeente Losser","607359029352126"
"CDA","CDA in Vlaardingen","932061186823949"
"CDA","CDA waterschap Brabantse Delta","102700589345543"
"CDA","CDA-Hilversum","251158461698171"
"CDA","CDA-Landgraaf","713923081953772"
"CDA","CDA-Tynaarlo","260229974145093"
"CDA","CDA.sonenbreugel","211527752371216"
"CDA","CDAAchtkarspelen","498631290179145"
"CDA","CDABaarn","282209748601608"
"CDA","CDANuenen","1697653517184158"
"CDA","CDARenkum","471077096317065"
"CDA","CDAV Zeeland","2132569696775375"
"CDA","CDAWesterkwartier","220424258683260"
"CDA","CDAolst-wijhe","109010011698353"
"CDA","CDJA, CDA-jongeren","135642563196256"
"CDA","Cda Aalsmeer Kudelstaart","1243183025696254"
"CDA","Chris van Dam","237429380031891"
"CDA","Eveline Tijmstra","108130921151383"
"CDA","Frank Buijs, CDA","597205093759430"
"CDA","Gabrielle Heine,  Nr. 37 CDA TK'21","103682868214533"
"CDA","Gelderlandkiestcda","103497724987398"
"CDA","Hanno Lamers","1007523402675575"
"CDA","Hans van Gerrevink - CDA Apeldoorn","111176264670583"
"CDA","Harmen Krul","102702261651304"
"CDA","Harry van der Molen","1598361623791979"
"CDA","Heemskerk CDA","104833565467553"
"CDA","Henk Jan Ormel","823537391322678"
"CDA","Het Enkhuizer CDA","1602656300057153"
"CDA","Hilbert Bredemeijer","108661853969580"
"CDA","Hugo de Jonge","337991513008675"
"CDA","Huibert van Rossum CDA","112652133973679"
"CDA","Jaco Geurts","211966142554381"
"CDA","Jan Joosten - CDA Eindhoven","108225168328436"
"CDA","Jelle Beemsterboer","105422274685438"
"CDA","Joba van den Berg","1844392342447692"
"CDA","John Jenniskens CDA Horst aan de Maas","214910835364568"
"CDA","Jurian voor Kerkrade","2061902510757314"
"CDA","Lokaal CDA gemeente Epe","259622384190321"
"CDA","Lucille Werner","143716979054755"
"CDA","Madeleine van Toorenburg","404443543059212"
"CDA","Marieke Nass","106826734620269"
"CDA","Mark Vermeulen - CDA Zuidplas","101776585705419"
"CDA","Mark Weijers - CDA Venray","109112891631211"
"CDA","Martijn van Helvert","825800654145354"
"CDA","Maurits von Martels CDA","1727815447535716"
"CDA","Menno van Oerle - CDA Schagen","105368012107278"
"CDA","Michel Rog","1701977273392331"
"CDA","Miriam Dückers CDA Venlo","1995562677370220"
"CDA","Mona Keijzer","790841021006963"
"CDA","Mustafa Amhaouch","1862580210628899"
"CDA","Mustafa Bal","223967718058356"
"CDA","Nick Hendriks CDA Zaanstad","100491085881059"
"CDA","Nr. 35 Piet-Cees van der Wel CDA","102925808393819"
"CDA","Patrick Bierens CDA lijst 1 - nr 15","108167128460822"
"CDA","Raymond Knops","1705660683039799"
"CDA","René Peters","1791229601140644"
"CDA","Ronnie Buiks - CDA Brabant","113005505052234"
"CDA","Tim Slijkhuis - CDA Schagen","105549915331023"
"CDA","Wopke Hoekstra","2018408465106868"
"CDA","Wytske Postma CDA","1394226180605930"
"CDA","dick_blom_cda_haarlemmermeer","103580168948933"
"CDA","leiden_cda","109727924692953"
"CU","Arjan Langen - ChristenUnie","100237759674715"
"CU","ChristenUnie","211661062254003"
"CU","ChristenUnie  Staphorst","712956305391177"
"CU","ChristenUnie  West Betuwe","205242676331332"
"CU","ChristenUnie Achtkarspelen","1420423374872687"
"CU","ChristenUnie Alkmaar","1844016509257491"
"CU","ChristenUnie Almelo","239789942841236"
"CU","ChristenUnie Almere","463931400320244"
"CU","ChristenUnie Altena","92015903943"
"CU","ChristenUnie Amersfoort","317349971611583"
"CU","ChristenUnie Amstelveen","1994692877432938"
"CU","ChristenUnie Amsterdam","282108071911694"
"CU","ChristenUnie Apeldoorn","562357297179689"
"CU","ChristenUnie Arnhem","111370644531506"
"CU","ChristenUnie Barneveld","388745857906285"
"CU","ChristenUnie Breda","388644201934039"
"CU","ChristenUnie Brunssum","105879418349029"
"CU","ChristenUnie Bunschoten","371687509536198"
"CU","ChristenUnie Dalfsen","644304695616348"
"CU","ChristenUnie Den Helder","853560757994599"
"CU","ChristenUnie Deventer","190525080967744"
"CU","ChristenUnie Dronten","121175318068156"
"CU","ChristenUnie Ede","242128959237930"
"CU","ChristenUnie Eemsdelta","394558224722257"
"CU","ChristenUnie Eindhoven","181061269097812"
"CU","ChristenUnie Elburg","415275778602417"
"CU","ChristenUnie Enschede","1400607256872059"
"CU","ChristenUnie Epe","440572919655829"
"CU","ChristenUnie Ermelo","110248171376613"
"CU","ChristenUnie Flevoland","403943403087425"
"CU","ChristenUnie Fryslân","174501385922296"
"CU","ChristenUnie Gelderland","1462668553973131"
